Timestamp,Gender,What is your age?,What is your religion?,Which area do you come from?,How many siblings do you have?,Have you ever visited any counselor/therapist?,What is your relationship status?,How many hours of sleep do you get everyday?,What kind of dreams do you get?,Which food do you prefer?, Do you have your meals on time?,How many litres of water do you drink in a day?,Do you workout often?,What time do you normally wake up in the morning?,What time do you normally wake up in the morning on an off-day?,Did your school have a counselor?, What kind of school did you attend?,How did you travel to school?,Which was your favorite subject?," During school life, have you had any concerns about your/your friend's mental health e.g. stress, anxiety, low mood?","If yes, did you feel you had enough understanding and information on the problem?",Who has supported you/your friend with mental health stuff?,What was your financial condition growing up?,What is your opinion about ‘peer pressure’?,What stream did you choose? (Higher Secondary School),What age did you get a phone for yourself?,How often did you participate in non-curricular activities?, Were you ever part of the school cabinet? (Head girl/ Head boy or house captain), Were you ever part of the school sports team?,How often were you called to the principal’s office for any form of mischief/misbehavior?,Do you talk to one or more of your classmates from your school days on a  weekly or daily basis?,What areas of life do you think impact mental health that you might want help with,Which relationships do you feel you might want support with. This could include education and strategies to cope with problems., Do you like reading books? ,Do you read the newspaper/ keep up with the happenings of the world?,What social media platforms do you use? ,Do you look forward to the weekend?,What is your plan for a holiday?,How hopeful are you about achieving your college related goals or future job prospects?,What makes you happy?,What are your energy levels like when I finish my day?,How much time do you have to travel to reach your place of study?,How excited do you get for your birthday?, Do you smoke? ,How often do you consume alcohol?,Stigma,Do you meditate or use other techniques in order to feel relaxed or happy?,Does your college/university have a counsellor?,Would you say that your college is addressing the mental health concerns among its students?,"Do you agree or disagree, that college life affects your mental health?",What are the major reasons you feel in a way college life may affect your mental health?,Do you as a student have a good social life at university/college?,Do you have good friends at college/university?,Do you participate in extra curricular activities?,Do you feel respected and wanted among your classmates?,Do you get enough free time in college/university?,Does your college have a proper schedule that the staff maintains to follow?,Are you enjoying the course you are studying?,Do you feel like you are studying something new and useful in college/university?,Are you happy/satisfied with the marks which you achieve?,Do you feel you are doing well now in college/university in comparison to your school or high school performances?,Do you feel pressure in order to meet the deadlines to submit assignments or projects?,"Do you find sufficient time to focus on your hobbies, extra curricular activities?","Can you balance personal, social, and academics responsibilities?",Do you right now have a clear vision of what you want to achieve  career-wise in future?,Are you happy with your college life?,Have you or anyone you know experienced cyber bullying?
3/23/2021 19:57:11,Male,35,Buddhist,Urban,1,No,Single,More than 8,Good,Homemade,Yes,3.5 L,Yes,Between 7 am and 9 am,Between 7 am and 9 am,No,All girls/ all boys,Foot,Mathematics,No,Yes,I did not want support,"Can afford the necessities, and occasional luxuries","It’s fine, if it does not get you into trouble",Science,Before/during PG,Never,No,No,Never,Yes,Friendship issues,With my parents,Yes,Yes,Instagram,Yes,"Hangout with friends and family, dear ones",5,Being around people you love,4,Less than 1 hour,3,Never smoked,Never,,No,No,No,Agree,"pressure to succeed in academics, uncertainty about which major or career path to choose, submissions and project work",No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No
3/30/2021 10:30:18,Female,19,Atheist,Urban,1,No,Single,Between 4 and 7,Good,Homemade,Sometimes,2.5 L,Don't get time,Between 7 am and 9 am,After 9 am,Yes,All girls,Car or bike,Languages (English/ Konkani/ Hindi/ French/ Portuguese/ Sanskrit),Maybe,,School counsellor,"Can afford the necessities, and occasional luxuries",hm,Arts,Before/during UG,When I was forced to,No,No,Only a few times,No,,With my parents,Yes,Yes,Twitter,Yes,Sleep,4,"Your work/study, Being around animals, Food",3,1 hour,2,Never smoked,Never,,No,Yes,Not aware,Agree,"Pressure to succeed in academics, Financial stress, Uncertainty about which major or career path to choose, Increased social media use, Submissions and project work",I don't know,No,No,Maybe,Sometimes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
3/30/2021 13:10:56,Male,25,Christian,Rural,1,Yes,Single,Between 4 and 7,Good,Homemade,No,3.5 L,No,Between 7 am and 9 am,After 9 am,Yes,Co-ed (Girls and boys),Bus or van with other students,Languages (English/ Konkani/ Hindi/ French/ Portuguese/ Sanskrit),Maybe,No,"Teacher, Friend, Parent","Can afford the necessities, and occasional luxuries","It’s fine, if it does not get you into trouble",Science,Before 12th std (10th std - 11th std),Always did,Yes,No,Only a few times,Yes,"School stress, Family problems, Gender/Sexuality, Body image, Anxiety and or depression, Self esteem, Suicidal thoughts, Self-harm, Sex and relationships, Child abuse/neglect that may have happened, Fear of the future/planning the future, Bullying, Parental/family mental health, Friendship issues, Eating disorders, Drugs and alcohol, Domestic and family violence/fighting at home, Cyber Bullying, Phone addiction/fights, I think parents need an information/support group","With my parents, With my teachers, BF or GF, Siblings",No,Sometimes,"Instagram, Twitter",Yes,"Hangout with friends and family, dear ones",3,"Being around people you love, Being around animals, Food",2,Less than 1 hour,5,Never smoked,Never,,No,I don't know,Not aware,Agree,"Pressure to succeed in academics, Financial stress, Submissions and project work",Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No
3/30/2021 13:15:58,Male,22,Hindu,Urban,1,No,Single,Between 4 and 7,Good,Homemade,Yes,2.5 L,Sometimes,Between 7 am and 9 am,Between 7 am and 9 am,Yes,Co-ed (Girls and boys),Car or bike,Science,No,No,"Parent, Other adult","Can afford the necessities, and occasional luxuries","It’s fine, if it does not get you into trouble",Science,Before/during UG,Sometimes,Yes,Yes,Never,Yes,Anxiety and or depression,With my teachers,No,Sometimes,"Facebook, Instagram, Twitter, Snapchat",No,Do nothing,5,Being around people you love,4,2 hours,1,Never smoked,Never,,Sometimes,No,Maybe,Agree,Pressure to succeed in academics,Maybe,Yes,Yes,Yes,No,Yes,Yes,Maybe,Yes,No,Yes,Sometimes,Yes,Yes,Yes,No
3/30/2021 13:18:31,Male,24,Hindu,Urban,1,Yes,Single,Between 4 and 7,Nightmare,Outside food,No,1.5  L,Sometimes,Between 5 am and 7 am,Never a constant time,No,Co-ed (Girls and boys),Foot,Geography,Maybe,No,"Teacher, Friend","Can afford the necessities, not more","It’s fine, if it does not get you into trouble",Commerce,Before/during PG,Always did,Yes,Yes,Only a few times,Yes,Family problems,With my parents,Yes,Sometimes,"Facebook, Instagram, Snapchat",Yes,"Hangout with friends and family, dear ones",4,Being around people you love,4,Less than 1 hour,4,Never smoked,Never,,No,Yes,No,Neutral,Submissions and project work,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,Not sure,Yes,No
3/30/2021 13:20:43,Female,23,Hindu,Urban,1,No,Single,Between 4 and 7,Nightmare,Outside food,Sometimes,1.5  L,No,Never a constant time,Never a constant time,No,Co-ed (Girls and boys),Bus or van with other students,Mathematics,Maybe,Yes,Friend,"Can afford the necessities, not more","It’s bad, but I have fallen for it",Science,Before 12th std (10th std - 11th std),Sometimes,No,Yes,Never,Yes,,With my teachers,Yes,No,Instagram,Yes,"Hangout with friends and family, dear ones",4,Being around people you love,4,1 hour,4,Never smoked,Never,,No,Yes,Maybe,Neutral,Uncertainty about which major or career path to choose,Maybe,Yes,Yes,Yes,Yes,No,Yes,Yes,Maybe,No,Yes,Yes,Yes,Yes,Yes,No
3/30/2021 13:23:01,Male,21,Hindu,Urban,1,No,Single,More than 8,Good,Homemade,Yes,More than 3.5 L,Yes,Between 7 am and 9 am,Between 7 am and 9 am,No,Co-ed (Girls and boys),Helicopter ,Science,Yes,Yes,Friend,"Can afford the necessities, and occasional luxuries","It’s bad, but I have fallen for it, It’s fine, if it does not get you into trouble",Arts,Before 10th std,Always did,Yes,Yes,Many times,Yes,"School stress, Family problems, Gender/Sexuality, Body image, Anxiety and or depression, Self esteem, Suicidal thoughts, Self-harm, Sex and relationships, Child abuse/neglect that may have happened, Fear of the future/planning the future, Bullying, Parental/family mental health, Friendship issues, Eating disorders, Drugs and alcohol, Domestic and family violence/fighting at home, Cyber Bullying, Phone addiction/fights, I think parents need an information/support group",With my friends (difficulties or break downs/loss of the friendship),No,Sometimes,"Facebook, Instagram, Twitter, Snapchat",Yes,Do nothing,3,"Being around people you love, Your work/study, Being around animals, Food",3,Less than 1 hour,5,Never smoked,Never,,Yes,Yes,Maybe,Agree,"Pressure to succeed in academics, Financial stress, Uncertainty about which major or career path to choose, Increased social media use, Submissions and project work",Yes,Yes,Yes,Yes,Yes,Yes,I don't know,No,No,Maybe,Maybe,Sometimes,Maybe,Not sure,Maybe,No
3/30/2021 13:27:48,Female,22,Hindu,Urban,1,No,Single,Between 4 and 7,Nightmare,Homemade,Yes,Less than 1.5 L,No,Between 7 am and 9 am,After 9 am,Yes,Co-ed (Girls and boys),Foot,Mathematics,No,,Friend,"Can afford the necessities, and occasional luxuries","It’s fine, if it does not get you into trouble",Science,Before/during UG,Sometimes,No,No,Never,Yes,School stress,With my friends (difficulties or break downs/loss of the friendship),Yes,Sometimes,"Facebook, Instagram",Yes,"Hangout with friends and family, dear ones",3,"Being around people you love, Your work/study, Food",2,Less than 1 hour,4,Never smoked,Never,,No,Yes,Maybe,Agree,"Pressure to succeed in academics, Financial stress, Uncertainty about which major or career path to choose, Increased social media use, Submissions and project work",Yes,Yes,No,Yes,No,Yes,Maybe,Maybe,Yes,Yes,Yes,No,Maybe,Not sure,Sometimes,No
3/30/2021 13:31:43,Male,22,Hindu,Urban,1,No,Single,More than 8,Nightmare,Homemade,Yes,1.5  L,Yes,Between 7 am and 9 am,After 9 am,No,Co-ed (Girls and boys),Bus or van with other students,Mathematics,Yes,Yes,There wasn't support I wanted to access,Finding it difficult to make ends meet,"It’s bad, but I have fallen for it",Commerce,Before 10th std,Sometimes,No,No,Never,No,"Body image, Anxiety and or depression, Phone addiction/fights",With my parents,No,Sometimes,Instagram,No,Sleep,2,Being around animals,1,1 hour,2,Never smoked,Very Often,,Sometimes,Maybe,Maybe,Agree,"Pressure to succeed in academics, Financial stress, Submissions and project work",No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
3/30/2021 13:33:06,Female,22,Hindu,Rural,1,No,Single,More than 8,Good,Homemade,Yes,1.5  L,Sometimes,Between 7 am and 9 am,After 9 am,No,Co-ed (Girls and boys),Bus or van with other students,Science,Maybe,Yes,"Teacher, Friend","Can afford the necessities, not more","It’s fine, if it does not get you into trouble",Commerce,Before 10th std,Always did,Yes,Yes,Never,Yes,Family problems,"With my parents, With my friends (difficulties or break downs/loss of the friendship)",No,No,"Instagram, Snapchat",Yes,"Hangout with friends and family, dear ones",3,Being around people you love,4,1 hour,4,Never smoked,Never,,No,Yes,Maybe,Neutral,Financial stress,Yes,Yes,Yes,Yes,No,Maybe,Maybe,Maybe,Yes,Maybe,Maybe,Sometimes,Yes,Yes,Maybe,No
3/30/2021 13:34:45,Male,22,Other,Urban,1,Yes,In a relationship,Between 4 and 7,Good,Homemade,Yes,2.5 L,Sometimes,Between 7 am and 9 am,After 9 am,Yes,Co-ed (Girls and boys),Bus or van with other students,Science,Yes,No,"Friend, Parent","Can afford the necessities, and occasional luxuries","It’s fine, if it does not get you into trouble",Science,Before 12th std (10th std - 11th std),Always did,No,No,Never,Yes,"School stress, Body image, Anxiety and or depression, Fear of the future/planning the future",BF or GF,No,Yes,Instagram,Yes,"Hangout with friends and family, dear ones",3,"Being around people you love, Food",4,1 hour,2,Never smoked,On occasion,,Yes,Yes,No,Agree,"Pressure to succeed in academics, Increased social media use, Submissions and project work",Yes,Yes,Yes,Yes,Sometimes,No,Maybe,No,Yes,Yes,Yes,No,Yes,No,Yes,No
